strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-15T19:15:00.000Z,2025-12-15T20:17:59.999Z,20,-0.586608,0.8069,0.5123,-58.6608,6.9873,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-15T21:00:00.000Z,2025-12-15T22:02:59.999Z,20,0.433726,0.9614,0.4868,43.3726,10.4070,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-16T02:51:00.000Z,2025-12-16T03:11:59.999Z,6,-1.057460,0.1620,1.0260,-105.7460,13.3862,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-16T07:15:00.000Z,2025-12-16T07:38:59.999Z,7,-1.073214,0.1631,0.8993,-107.3214,16.9658,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-16T10:18:00.000Z,2025-12-16T10:41:59.999Z,7,0.964398,2.3547,0.1335,96.4398,11.2633,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-16T11:03:00.000Z,2025-12-16T11:32:59.999Z,9,1.173043,1.3122,0.0758,117.3043,6.8804,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-16T12:48:00.000Z,2025-12-16T13:29:59.999Z,13,-1.073417,0.8070,1.7403,-107.3417,16.4836,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-16T13:33:00.000Z,2025-12-16T13:35:59.999Z,0,1.284136,1.4338,0.0189,128.4136,4.5220,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-16T17:09:00.000Z,2025-12-16T17:59:59.999Z,16,1.242495,1.5011,0.2334,124.2495,5.3705,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-16T19:39:00.000Z,2025-12-16T19:53:59.999Z,4,1.185333,1.2755,0.1177,118.5333,6.6335,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-16T20:54:00.000Z,2025-12-16T21:56:59.999Z,20,-0.087463,0.9445,0.3024,-8.7463,12.5971,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-16T23:21:00.000Z,2025-12-16T23:47:59.999Z,8,-1.087768,0.4390,0.9877,-108.7768,19.9468,LATE,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-17T05:12:00.000Z,2025-12-17T05:23:59.999Z,3,-1.058293,0.2731,1.0397,-105.8293,13.6615,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-17T12:45:00.000Z,2025-12-17T13:08:59.999Z,7,1.036483,1.2286,0.1324,103.6483,9.7506,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-17T13:09:00.000Z,2025-12-17T13:47:59.999Z,12,1.084216,1.4662,0.6751,108.4216,8.7346,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-17T14:33:00.000Z,2025-12-17T14:38:59.999Z,1,1.150810,1.2381,0.1624,115.0810,7.3272,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-17T21:36:00.000Z,2025-12-17T22:29:59.999Z,17,1.113854,1.4135,0.4222,111.3854,8.1005,LATE,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-17T23:09:00.000Z,2025-12-18T00:11:59.999Z,20,0.295420,0.8943,0.4099,29.5420,14.5858,LATE,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-18T01:54:00.000Z,2025-12-18T02:17:59.999Z,7,1.049358,1.2605,0.3482,104.9358,9.4804,ASIA,1
